"municipality","votes","candidate","parties","file","district"
"仁木町",1123,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"余市町",3702,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"余市町",6232,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"赤井川村",314,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"赤井川村",351,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"北海道第４区 合計",108630,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"北海道第４区 合計",109326,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"札幌市厚別区",2254,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"札幌市厚別区",30156,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"札幌市厚別区",5188,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"札幌市厚別区",30642,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"江別市",1550,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"江別市",30187,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"江別市",3897,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"江別市",26402,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"千歳市",1687,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"千歳市",26559,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"千歳市",1689,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"千歳市",13283,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"恵庭市",1230,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"恵庭市",20714,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"恵庭市",1568,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"恵庭市",12095,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"北広島市",813,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"北広島市",13366,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"北広島市",1879,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"北広島市",13681,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"石狩市",712,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"石狩市",13060,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"石狩市",1872,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"石狩市",11683,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"当別町",248,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"当別町",4632,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"当別町",598,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"当別町",3083,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"新篠津村",26,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"新篠津村",1276,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"新篠津村",67,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"新篠津村",497,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"北海道第５区 合計",8520,"大津　しんたろう","本人","000785193.xls","北海道第５区"
"北海道第５区 合計",139950,"和田　よしあき","自由民主党","000785193.xls","北海道第５区"
"北海道第５区 合計",16758,"橋本　みか","日本共産党","000785193.xls","北海道第５区"
"北海道第５区 合計",111366,"池田　まき","立憲民主党","000785193.xls","北海道第５区"
"旭川市",6779,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"旭川市",57497,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"旭川市",83385,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"士別市",245,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"士別市",4456,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"士別市",4974,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"名寄市",494,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"名寄市",5759,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"名寄市",8390,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"富良野市",342,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"富良野市",4515,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"富良野市",5835,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"鷹栖町",175,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"鷹栖町",1598,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"鷹栖町",1771,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"東神楽町",279,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"東神楽町",2415,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"東神楽町",2521,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"当麻町",127,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"当麻町",1496,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"当麻町",1767,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"比布町",75,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"比布町",1022,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"比布町",1074,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"愛別町",51,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"愛別町",670,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"愛別町",964,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"上川町",56,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"上川町",1112,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"上川町",928,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"東川町",203,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"東川町",1880,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"東川町",2257,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"美瑛町",189,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"美瑛町",2336,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"美瑛町",2936,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"上富良野町",255,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"上富良野町",1757,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"上富良野町",3669,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"中富良野町",82,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"中富良野町",1090,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"中富良野町",1659,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"南富良野町",74,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"南富良野町",689,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"南富良野町",710,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"占冠村",17,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"占冠村",391,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"占冠村",251,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"和寒町",62,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"和寒町",938,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"和寒町",1081,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"剣淵町",72,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"剣淵町",904,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"剣淵町",867,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"下川町",79,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"下川町",851,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"下川町",1065,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"美深町",61,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"美深町",1095,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"美深町",1277,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"音威子府村",14,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"音威子府村",275,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"音威子府村",162,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"中川町",27,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"中川町",378,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"中川町",530,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"幌加内町",18,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"幌加内町",279,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"幌加内町",597,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"北海道第６区 合計",9776,"さいとう　忠行","ＮＨＫと裁判してる党
弁護士法７２条違反で","000785193.xls","北海道第６区"
"北海道第６区 合計",93403,"にしかわ　将人","立憲民主党","000785193.xls","北海道第６区"
"北海道第６区 合計",128670,"東　くによし","自由民主党","000785193.xls","北海道第６区"
"釧路市",40701,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"釧路市",26296,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"釧路市",7829,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"根室市",6561,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"根室市",3013,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"根室市",970,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"釧路町",5110,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"釧路町",2900,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"釧路町",818,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"厚岸町",3246,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"厚岸町",1210,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"厚岸町",372,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"浜中町",2289,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"浜中町",682,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"浜中町",203,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"標茶町",2304,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"標茶町",1491,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"標茶町",430,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"弟子屈町",2411,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"弟子屈町",1292,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"弟子屈町",319,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"鶴居村",932,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"鶴居村",433,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"鶴居村",128,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"白糠町",2598,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"白糠町",1180,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"白糠町",277,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"別海町",4952,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"別海町",2028,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"別海町",648,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"中標津町",6234,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"中標津町",3622,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"中標津町",607,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"標津町",1816,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"標津町",840,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"標津町",162,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"羅臼町",1643,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"羅臼町",576,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"羅臼町",150,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"北海道第７区 合計",80797,"伊東　よしたか","自由民主党","000785193.xls","北海道第７区"
"北海道第７区 合計",45563,"しのだ　奈保子","立憲民主党","000785193.xls","北海道第７区"
"北海道第７区 合計",12913,"石川　明美","日本共産党","000785193.xls","北海道第７区"
"函館市",68158,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"函館市",56674,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"北斗市",11287,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"北斗市",10681,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"松前町",1568,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"松前町",2514,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"福島町",1063,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"福島町",1221,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"知内町",972,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"知内町",1486,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"木古内町",1139,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"木古内町",1301,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"七飯町",8268,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"七飯町",6329,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"鹿部町",899,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"鹿部町",1112,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"森町",3728,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"森町",4034,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"八雲町",4532,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"八雲町",3484,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"長万部町",1538,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"長万部町",1541,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"江差町",2089,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"江差町",2023,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"上ノ国町",1174,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"上ノ国町",1416,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"厚沢部町",1088,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"厚沢部町",1151,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"乙部町",863,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"乙部町",1368,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"奥尻町",581,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"奥尻町",1068,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"今金町",1569,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"今金町",1493,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"せたな町",2341,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"せたな町",2483,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"北海道第８区 合計",112857,"おおさか　誠二","立憲民主党","000785193.xls","北海道第８区"
"北海道第８区 合計",101379,"前田　かずお","自由民主党","000785193.xls","北海道第８区"
"室蘭市",22346,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"室蘭市",18120,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"苫小牧市",41556,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"苫小牧市",35868,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"登別市",11401,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"登別市",11678,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"伊達市",8650,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"伊達市",7966,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"豊浦町",905,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"豊浦町",1086,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"壮瞥町",606,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"壮瞥町",758,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"白老町",4023,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"白老町",4486,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"厚真町",1260,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"厚真町",1254,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"洞爺湖町",2149,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"洞爺湖町",2470,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"安平町",2085,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"安平町",2078,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"むかわ町",2041,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"むかわ町",2389,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"日高町",2907,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"日高町",3263,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"平取町",1358,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"平取町",1545,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"新冠町",1323,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"新冠町",1591,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"浦河町",3203,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"浦河町",3492,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"様似町",1087,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"様似町",1314,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"えりも町",1125,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"えりも町",1508,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"新ひだか町",5487,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"新ひだか町",5976,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"北海道第９区 合計",113512,"山岡　達丸","立憲民主党","000785193.xls","北海道第９区"
"北海道第９区 合計",106842,"ほりい　学","自由民主党","000785193.xls","北海道第９区"
"夕張市",1974,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"夕張市",2447,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"岩見沢市",20273,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"岩見沢市",19713,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"留萌市",4282,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"留萌市",6712,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"美唄市",4976,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"美唄市",6205,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"芦別市",2662,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"芦別市",5096,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"赤平市",2487,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"赤平市",2923,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"三笠市",2312,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"三笠市",2227,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"滝川市",9035,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"滝川市",10632,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"砂川市",4682,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"砂川市",4655,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"歌志内市",861,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"歌志内市",1067,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"深川市",5731,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"深川市",5356,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"南幌町",1863,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"南幌町",2260,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"奈井江町",1579,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
"奈井江町",1471,"いなつ　久","公明党","000785193.xls","北海道第１０区"
"上砂川町",790,"神谷　ひろし","立憲民主党","000785193.xls","北海道第１０区"
