"municipality","votes","parties","file","district"
"旭川市",2369,"社会民主党","000785194.xls","北海道"
"旭川市",15699,"公明党","000785194.xls","北海道"
"旭川市",38695.361,"立憲民主党","000785194.xls","北海道"
"旭川市",3393.638,"国民民主党","000785194.xls","北海道"
"旭川市",52981,"自由民主党","000785194.xls","北海道"
"旭川市",11308,"日本共産党","000785194.xls","北海道"
"旭川市",10193,"日本維新の会","000785194.xls","北海道"
"旭川市",5571,"れいわ新選組","000785194.xls","北海道"
"旭川市",2773,"支持政党なし","000785194.xls","北海道"
"旭川市",3381,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"旭川市",146363.999,"得票数計","000785194.xls","北海道"
"室蘭市",897,"社会民主党","000785194.xls","北海道"
"室蘭市",4815,"公明党","000785194.xls","北海道"
"室蘭市",12810.131,"立憲民主党","000785194.xls","北海道"
"室蘭市",1316.868,"国民民主党","000785194.xls","北海道"
"室蘭市",11375,"自由民主党","000785194.xls","北海道"
"室蘭市",3201,"日本共産党","000785194.xls","北海道"
"室蘭市",2715,"日本維新の会","000785194.xls","北海道"
"室蘭市",1472,"れいわ新選組","000785194.xls","北海道"
"室蘭市",779,"支持政党なし","000785194.xls","北海道"
"室蘭市",589,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"室蘭市",39969.999,"得票数計","000785194.xls","北海道"
"釧路市",1144,"社会民主党","000785194.xls","北海道"
"釧路市",10837,"公明党","000785194.xls","北海道"
"釧路市",18343.302,"立憲民主党","000785194.xls","北海道"
"釧路市",1682.697,"国民民主党","000785194.xls","北海道"
"釧路市",24578,"自由民主党","000785194.xls","北海道"
"釧路市",6875,"日本共産党","000785194.xls","北海道"
"釧路市",5599,"日本維新の会","000785194.xls","北海道"
"釧路市",2882,"れいわ新選組","000785194.xls","北海道"
"釧路市",1163,"支持政党なし","000785194.xls","北海道"
"釧路市",992,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"釧路市",74095.99899999998,"得票数計","000785194.xls","北海道"
"帯広市",1212,"社会民主党","000785194.xls","北海道"
"帯広市",8567,"公明党","000785194.xls","北海道"
"帯広市",19954.495,"立憲民主党","000785194.xls","北海道"
"帯広市",2040.504,"国民民主党","000785194.xls","北海道"
"帯広市",29886,"自由民主党","000785194.xls","北海道"
"帯広市",6471,"日本共産党","000785194.xls","北海道"
"帯広市",6374,"日本維新の会","000785194.xls","北海道"
"帯広市",3328,"れいわ新選組","000785194.xls","北海道"
"帯広市",1607,"支持政党なし","000785194.xls","北海道"
"帯広市",1305,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"帯広市",80744.99899999998,"得票数計","000785194.xls","北海道"
"北見市",979,"社会民主党","000785194.xls","北海道"
"北見市",5385,"公明党","000785194.xls","北海道"
"北見市",13778.753,"立憲民主党","000785194.xls","北海道"
"北見市",1372.246,"国民民主党","000785194.xls","北海道"
"北見市",18648,"自由民主党","000785194.xls","北海道"
"北見市",4406,"日本共産党","000785194.xls","北海道"
"北見市",4311,"日本維新の会","000785194.xls","北海道"
"北見市",2126,"れいわ新選組","000785194.xls","北海道"
"北見市",908,"支持政党なし","000785194.xls","北海道"
"北見市",1087,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"北見市",53000.999,"得票数計","000785194.xls","北海道"
"夕張市",97,"社会民主党","000785194.xls","北海道"
"夕張市",977,"公明党","000785194.xls","北海道"
"夕張市",1235.99,"立憲民主党","000785194.xls","北海道"
"夕張市",70.009,"国民民主党","000785194.xls","北海道"
"夕張市",1093,"自由民主党","000785194.xls","北海道"
"夕張市",389,"日本共産党","000785194.xls","北海道"
"夕張市",215,"日本維新の会","000785194.xls","北海道"
"夕張市",147,"れいわ新選組","000785194.xls","北海道"
"夕張市",51,"支持政党なし","000785194.xls","北海道"
"夕張市",47,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"夕張市",4321.999,"得票数計","000785194.xls","北海道"
"岩見沢市",703,"社会民主党","000785194.xls","北海道"
"岩見沢市",4991,"公明党","000785194.xls","北海道"
"岩見沢市",11921.301,"立憲民主党","000785194.xls","北海道"
"岩見沢市",1090.698,"国民民主党","000785194.xls","北海道"
"岩見沢市",12662,"自由民主党","000785194.xls","北海道"
"岩見沢市",3166,"日本共産党","000785194.xls","北海道"
"岩見沢市",2476,"日本維新の会","000785194.xls","北海道"
"岩見沢市",1490,"れいわ新選組","000785194.xls","北海道"
"岩見沢市",745,"支持政党なし","000785194.xls","北海道"
"岩見沢市",592,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"岩見沢市",39836.999,"得票数計","000785194.xls","北海道"
"網走市",230,"社会民主党","000785194.xls","北海道"
"網走市",2229,"公明党","000785194.xls","北海道"
"網走市",4337.206,"立憲民主党","000785194.xls","北海道"
"網走市",407.793,"国民民主党","000785194.xls","北海道"
"網走市",5935,"自由民主党","000785194.xls","北海道"
"網走市",1521,"日本共産党","000785194.xls","北海道"
"網走市",1162,"日本維新の会","000785194.xls","北海道"
"網走市",604,"れいわ新選組","000785194.xls","北海道"
"網走市",348,"支持政党なし","000785194.xls","北海道"
"網走市",278,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"網走市",17051.999,"得票数計","000785194.xls","北海道"
"留萌市",152,"社会民主党","000785194.xls","北海道"
"留萌市",1603,"公明党","000785194.xls","北海道"
"留萌市",2726.768,"立憲民主党","000785194.xls","北海道"
"留萌市",231.231,"国民民主党","000785194.xls","北海道"
"留萌市",4152,"自由民主党","000785194.xls","北海道"
"留萌市",509,"日本共産党","000785194.xls","北海道"
"留萌市",794,"日本維新の会","000785194.xls","北海道"
"留萌市",388,"れいわ新選組","000785194.xls","北海道"
"留萌市",158,"支持政党なし","000785194.xls","北海道"
"留萌市",174,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"留萌市",10887.999,"得票数計","000785194.xls","北海道"
"苫小牧市",1175,"社会民主党","000785194.xls","北海道"
"苫小牧市",11376,"公明党","000785194.xls","北海道"
"苫小牧市",20475.154,"立憲民主党","000785194.xls","北海道"
"苫小牧市",2461.845,"国民民主党","000785194.xls","北海道"
"苫小牧市",21692,"自由民主党","000785194.xls","北海道"
"苫小牧市",8036,"日本共産党","000785194.xls","北海道"
"苫小牧市",6018,"日本維新の会","000785194.xls","北海道"
"苫小牧市",3043,"れいわ新選組","000785194.xls","北海道"
"苫小牧市",1585,"支持政党なし","000785194.xls","北海道"
"苫小牧市",1410,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"苫小牧市",77271.99899999998,"得票数計","000785194.xls","北海道"
"稚内市",237,"社会民主党","000785194.xls","北海道"
"稚内市",2297,"公明党","000785194.xls","北海道"
"稚内市",3249.136,"立憲民主党","000785194.xls","北海道"
"稚内市",345.863,"国民民主党","000785194.xls","北海道"
"稚内市",5843,"自由民主党","000785194.xls","北海道"
"稚内市",1258,"日本共産党","000785194.xls","北海道"
"稚内市",1047,"日本維新の会","000785194.xls","北海道"
"稚内市",582,"れいわ新選組","000785194.xls","北海道"
"稚内市",219,"支持政党なし","000785194.xls","北海道"
"稚内市",246,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"稚内市",15323.999,"得票数計","000785194.xls","北海道"
"美唄市",184,"社会民主党","000785194.xls","北海道"
"美唄市",1541,"公明党","000785194.xls","北海道"
"美唄市",2945.955,"立憲民主党","000785194.xls","北海道"
"美唄市",241.044,"国民民主党","000785194.xls","北海道"
"美唄市",4044,"自由民主党","000785194.xls","北海道"
"美唄市",803,"日本共産党","000785194.xls","北海道"
"美唄市",629,"日本維新の会","000785194.xls","北海道"
"美唄市",392,"れいわ新選組","000785194.xls","北海道"
"美唄市",156,"支持政党なし","000785194.xls","北海道"
"美唄市",139,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"美唄市",11074.999,"得票数計","000785194.xls","北海道"
"芦別市",116,"社会民主党","000785194.xls","北海道"
"芦別市",1659,"公明党","000785194.xls","北海道"
"芦別市",2093.68,"立憲民主党","000785194.xls","北海道"
"芦別市",112.319,"国民民主党","000785194.xls","北海道"
"芦別市",2287,"自由民主党","000785194.xls","北海道"
"芦別市",627,"日本共産党","000785194.xls","北海道"
"芦別市",363,"日本維新の会","000785194.xls","北海道"
"芦別市",205,"れいわ新選組","000785194.xls","北海道"
"芦別市",121,"支持政党なし","000785194.xls","北海道"
"芦別市",108,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"芦別市",7691.999,"得票数計","000785194.xls","北海道"
"江別市",979,"社会民主党","000785194.xls","北海道"
"江別市",6942,"公明党","000785194.xls","北海道"
"江別市",18317.882,"立憲民主党","000785194.xls","北海道"
"江別市",1862.117,"国民民主党","000785194.xls","北海道"
"江別市",18815,"自由民主党","000785194.xls","北海道"
"江別市",5272,"日本共産党","000785194.xls","北海道"
"江別市",4756,"日本維新の会","000785194.xls","北海道"
"江別市",2463,"れいわ新選組","000785194.xls","北海道"
"江別市",1275,"支持政党なし","000785194.xls","北海道"
"江別市",986,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"江別市",61667.999,"得票数計","000785194.xls","北海道"
"赤平市",117,"社会民主党","000785194.xls","北海道"
"赤平市",1049,"公明党","000785194.xls","北海道"
"赤平市",1569.238,"立憲民主党","000785194.xls","北海道"
"赤平市",103.761,"国民民主党","000785194.xls","北海道"
"赤平市",1490,"自由民主党","000785194.xls","北海道"
"赤平市",418,"日本共産党","000785194.xls","北海道"
"赤平市",246,"日本維新の会","000785194.xls","北海道"
"赤平市",165,"れいわ新選組","000785194.xls","北海道"
"赤平市",78,"支持政党なし","000785194.xls","北海道"
"赤平市",77,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"赤平市",5312.999,"得票数計","000785194.xls","北海道"
"紋別市",165,"社会民主党","000785194.xls","北海道"
"紋別市",992,"公明党","000785194.xls","北海道"
"紋別市",2379.194,"立憲民主党","000785194.xls","北海道"
"紋別市",224.805,"国民民主党","000785194.xls","北海道"
"紋別市",3743,"自由民主党","000785194.xls","北海道"
"紋別市",646,"日本共産党","000785194.xls","北海道"
"紋別市",828,"日本維新の会","000785194.xls","北海道"
"紋別市",418,"れいわ新選組","000785194.xls","北海道"
"紋別市",137,"支持政党なし","000785194.xls","北海道"
"紋別市",157,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"紋別市",9689.999,"得票数計","000785194.xls","北海道"
"士別市",140,"社会民主党","000785194.xls","北海道"
"士別市",1109,"公明党","000785194.xls","北海道"
"士別市",3075.981,"立憲民主党","000785194.xls","北海道"
"士別市",164.018,"国民民主党","000785194.xls","北海道"
"士別市",3483,"自由民主党","000785194.xls","北海道"
"士別市",471,"日本共産党","000785194.xls","北海道"
"士別市",477,"日本維新の会","000785194.xls","北海道"
"士別市",270,"れいわ新選組","000785194.xls","北海道"
"士別市",114,"支持政党なし","000785194.xls","北海道"
"士別市",161,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"士別市",9464.999,"得票数計","000785194.xls","北海道"
"名寄市",333,"社会民主党","000785194.xls","北海道"
"名寄市",1252,"公明党","000785194.xls","北海道"
"名寄市",3807.675,"立憲民主党","000785194.xls","北海道"
"名寄市",376.324,"国民民主党","000785194.xls","北海道"
"名寄市",6290,"自由民主党","000785194.xls","北海道"
"名寄市",604,"日本共産党","000785194.xls","北海道"
"名寄市",762,"日本維新の会","000785194.xls","北海道"
"名寄市",442,"れいわ新選組","000785194.xls","北海道"
"名寄市",211,"支持政党なし","000785194.xls","北海道"
"名寄市",287,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"名寄市",14364.999,"得票数計","000785194.xls","北海道"
"三笠市",128,"社会民主党","000785194.xls","北海道"
"三笠市",840,"公明党","000785194.xls","北海道"
"三笠市",1447.38,"立憲民主党","000785194.xls","北海道"
"三笠市",78.619,"国民民主党","000785194.xls","北海道"
"三笠市",1226,"自由民主党","000785194.xls","北海道"
"三笠市",249,"日本共産党","000785194.xls","北海道"
"三笠市",213,"日本維新の会","000785194.xls","北海道"
"三笠市",169,"れいわ新選組","000785194.xls","北海道"
"三笠市",75,"支持政党なし","000785194.xls","北海道"
"三笠市",60,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"三笠市",4485.999,"得票数計","000785194.xls","北海道"
"根室市",132,"社会民主党","000785194.xls","北海道"
"根室市",841,"公明党","000785194.xls","北海道"
"根室市",2071.49,"立憲民主党","000785194.xls","北海道"
"根室市",196.509,"国民民主党","000785194.xls","北海道"
"根室市",4601,"自由民主党","000785194.xls","北海道"
"根室市",925,"日本共産党","000785194.xls","北海道"
"根室市",883,"日本維新の会","000785194.xls","北海道"
"根室市",431,"れいわ新選組","000785194.xls","北海道"
"根室市",143,"支持政党なし","000785194.xls","北海道"
"根室市",119,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"根室市",10342.999,"得票数計","000785194.xls","北海道"
"千歳市",438,"社会民主党","000785194.xls","北海道"
"千歳市",5311,"公明党","000785194.xls","北海道"
"千歳市",8258.181,"立憲民主党","000785194.xls","北海道"
"千歳市",1281.818,"国民民主党","000785194.xls","北海道"
"千歳市",19326,"自由民主党","000785194.xls","北海道"
"千歳市",1754,"日本共産党","000785194.xls","北海道"
"千歳市",3242,"日本維新の会","000785194.xls","北海道"
"千歳市",1572,"れいわ新選組","000785194.xls","北海道"
"千歳市",816,"支持政党なし","000785194.xls","北海道"
"千歳市",783,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"千歳市",42781.999,"得票数計","000785194.xls","北海道"
"滝川市",370,"社会民主党","000785194.xls","北海道"
"滝川市",2651,"公明党","000785194.xls","北海道"
"滝川市",5435.733,"立憲民主党","000785194.xls","北海道"
"滝川市",515.266,"国民民主党","000785194.xls","北海道"
"滝川市",6706,"自由民主党","000785194.xls","北海道"
"滝川市",1326,"日本共産党","000785194.xls","北海道"
"滝川市",1269,"日本維新の会","000785194.xls","北海道"
"滝川市",778,"れいわ新選組","000785194.xls","北海道"
"滝川市",396,"支持政党なし","000785194.xls","北海道"
"滝川市",367,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"滝川市",19813.999,"得票数計","000785194.xls","北海道"
"砂川市",202,"社会民主党","000785194.xls","北海道"
"砂川市",1526,"公明党","000785194.xls","北海道"
"砂川市",3147.924,"立憲民主党","000785194.xls","北海道"
"砂川市",189.075,"国民民主党","000785194.xls","北海道"
"砂川市",2662,"自由民主党","000785194.xls","北海道"
"砂川市",522,"日本共産党","000785194.xls","北海道"
"砂川市",492,"日本維新の会","000785194.xls","北海道"
"砂川市",314,"れいわ新選組","000785194.xls","北海道"
"砂川市",156,"支持政党なし","000785194.xls","北海道"
"砂川市",145,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"砂川市",9355.999,"得票数計","000785194.xls","北海道"
"歌志内市",60,"社会民主党","000785194.xls","北海道"
"歌志内市",411,"公明党","000785194.xls","北海道"
"歌志内市",532.597,"立憲民主党","000785194.xls","北海道"
"歌志内市",34.402,"国民民主党","000785194.xls","北海道"
"歌志内市",517,"自由民主党","000785194.xls","北海道"
"歌志内市",163,"日本共産党","000785194.xls","北海道"
"歌志内市",78,"日本維新の会","000785194.xls","北海道"
"歌志内市",58,"れいわ新選組","000785194.xls","北海道"
"歌志内市",19,"支持政党なし","000785194.xls","北海道"
"歌志内市",15,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"歌志内市",1887.999,"得票数計","000785194.xls","北海道"
"深川市",171,"社会民主党","000785194.xls","北海道"
"深川市",1124,"公明党","000785194.xls","北海道"
"深川市",3574.012,"立憲民主党","000785194.xls","北海道"
"深川市",201.987,"国民民主党","000785194.xls","北海道"
"深川市",3554,"自由民主党","000785194.xls","北海道"
"深川市",933,"日本共産党","000785194.xls","北海道"
"深川市",595,"日本維新の会","000785194.xls","北海道"
"深川市",370,"れいわ新選組","000785194.xls","北海道"
"深川市",167,"支持政党なし","000785194.xls","北海道"
"深川市",190,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"深川市",10879.999,"得票数計","000785194.xls","北海道"
"富良野市",166,"社会民主党","000785194.xls","北海道"
"富良野市",1342,"公明党","000785194.xls","北海道"
"富良野市",2952.455,"立憲民主党","000785194.xls","北海道"
"富良野市",254.544,"国民民主党","000785194.xls","北海道"
"富良野市",3778,"自由民主党","000785194.xls","北海道"
"富良野市",553,"日本共産党","000785194.xls","北海道"
"富良野市",691,"日本維新の会","000785194.xls","北海道"
"富良野市",414,"れいわ新選組","000785194.xls","北海道"
"富良野市",201,"支持政党なし","000785194.xls","北海道"
"富良野市",159,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"富良野市",10510.999,"得票数計","000785194.xls","北海道"
"登別市",426,"社会民主党","000785194.xls","北海道"
"登別市",3100,"公明党","000785194.xls","北海道"
"登別市",7073.361,"立憲民主党","000785194.xls","北海道"
"登別市",632.638,"国民民主党","000785194.xls","北海道"
"登別市",6850,"自由民主党","000785194.xls","北海道"
"登別市",1717,"日本共産党","000785194.xls","北海道"
"登別市",1489,"日本維新の会","000785194.xls","北海道"
"登別市",775,"れいわ新選組","000785194.xls","北海道"
"登別市",419,"支持政党なし","000785194.xls","北海道"
"登別市",307,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"登別市",22788.999000000003,"得票数計","000785194.xls","北海道"
"恵庭市",426,"社会民主党","000785194.xls","北海道"
"恵庭市",4062,"公明党","000785194.xls","北海道"
"恵庭市",8158.738,"立憲民主党","000785194.xls","北海道"
"恵庭市",943.261,"国民民主党","000785194.xls","北海道"
"恵庭市",15348,"自由民主党","000785194.xls","北海道"
"恵庭市",1846,"日本共産党","000785194.xls","北海道"
"恵庭市",2474,"日本維新の会","000785194.xls","北海道"
"恵庭市",1248,"れいわ新選組","000785194.xls","北海道"
"恵庭市",696,"支持政党なし","000785194.xls","北海道"
"恵庭市",568,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"恵庭市",35769.999,"得票数計","000785194.xls","北海道"
